iter	Passed	Remaining
205	706	2721
206	708	2712
207	709	2702
208	711	2693
209	721	2715
210	724	2710
211	727	2703
212	731	2704
213	733	2695
214	739	2699
215	741	2691
216	745	2688
217	747	2679
218	748	2669
219	751	2664
220	753	2655
221	754	2645
222	756	2635
223	757	2624
224	760	2620
225	762	2609
226	763	2599
227	765	2592
228	767	2584
229	770	2578
230	772	2570
231	776	2569
232	777	2560
233	782	2561
234	785	2556
235	786	2546
236	788	2538
237	791	2534
238	793	2525
239	798	2527
240	800	2521
241	805	2521
242	806	2513
243	810	2511
244	813	2507
245	815	2500
246	820	2500
247	821	2492
248	830	2505
249	832	2498
250	838	2502
251	843	2503
252	845	2497
253	847	2489
254	849	2482
255	852	2478
256	856	2475
257	860	2475
258	863	2469
259	867	2467
260	869	2460
261	872	2458
262	876	2455
263	878	2448
264	882	2446
265	883	2438
266	887	2437
267	890	2432
268	892	2426
269	896	2424
270	898	2417
271	903	2417
272	905	2412
273	907	2405
274	911	2403
275	913	2395
276	914	2388
277	920	2389
278	921	2381
279	923	2374
280	928	2375
281	930	2368
282	934	2367
283	936	2359
284	937	2352
285	940	2348
286	942	2342
287	944	2335
288	951	2341
289	953	2335
290	958	2334
291	959	2326
292	963	2325
293	966	2320
294	967	2313
295	970	2307
296	972	2301
297	973	2294
298	977	2292
299	979	2286
300	981	2279
301	983	2272
302	987	2270
303	988	2263
304	990	2256
305	992	2250
306	994	2244
307	995	2237
308	1000	2237
309	1002	2231
310	1006	2230
311	1008	2224
312	1010	2218
313	1013	2215
314	1015	2208
315	1017	2201
316	1020	2198
317	1023	2196
318	1025	2189
319	1029	2188
320	1032	2183
321	1033	2176
322	1037	2175
323	1040	2170
324	1041	2163
325	1045	2160
326	1046	2154
327	1048	2148
328	1052	2146
329	1054	2140
330	1056	2134
331	1058	2129
332	1060	2125
333	1062	2118
334	1066	2116
335	1068	2110
336	1069	2104
337	1071	2098
338	1075	2096
339	1076	2090
340	1078	2083
341	1082	2082
342	1084	2077
343	1086	2071
344	1088	2065
345	1091	2063
346	1093	2057
347	1097	2056
348	1099	2050
349	1100	2044
350	1103	2040
351	1105	2035
352	1107	2029
353	1111	2027
354	1114	2024
355	1115	2018
356	1119	2016
357	1122	2012
358	1127	2012
359	1130	2010
360	1133	2005
361	1136	2003
362	1138	1998
363	1142	1996
364	1144	1991
365	1146	1985
366	1150	1984
367	1152	1978
368	1153	1972
369	1157	1970
370	1159	1965
371	1161	1960
372	1162	1954
373	1166	1952
374	1168	1946
375	1172	1945
376	1174	1940
377	1176	1935
378	1177	1929
379	1181	1927
380	1183	1922
381	1187	1920
382	1189	1916
383	1191	1910
384	1192	1905
385	1196	1903
386	1198	1898
387	1201	1895
388	1204	1891
389	1206	1886
390	1208	1881
391	1211	1879
392	1216	1878
393	1218	1874
394	1220	1869
395	1221	1863
396	1225	1861
397	1227	1856
398	1229	1851
399	1231	1847
400	1233	1842
401	1235	1837
402	1238	1835
403	1240	1830
404	1242	1825
405	1246	1823
406	1248	1818
407	1249	1813
408	1253	1810
409	1254	1805
410	1256	1800
411	1260	1799
412	1262	1794
413	1264	1789
414	1266	1784
415	1269	1782
416	1271	1777
417	1275	1775
418	1277	1771
419	1279	1766
420	1281	1761
421	1284	1760
422	1286	1755
423	1290	1752
424	1293	1749
425	1295	1744
426	1299	1743
427	1302	1740
428	1306	1739
429	1308	1735
430	1310	1730
431	1313	1727
432	1315	1722
433	1317	1718
434	1319	1714
435	1321	1709
436	1323	1704
